has_secondary_education,has_higher_education,work_experience,master_id,rang_id,docs_verified,guarantee,rating,reviews_count,price_socket,discount,cur_score,album_count,photos_count,no_electric_reviews,few_electric_reviews,has_contract,has_insurance,months_on_profi_ru
1,0,7.0,https://profi.ru/profile/AbdullinAA22/,110.0,1,0,0,0,,,50.6792335,0,0,0.0,0.0,0,0,11.0
1,0,8.0,https://profi.ru/profile/AbdullinAM9/,158.0,1,0,0,0,,,50.70067066666667,0,7,0.0,0.0,0,0,18.0
1,0,6.0,https://profi.ru/profile/AbdullinAN2/,131.0,1,0,"4,73",15,,,50.76118,0,2,0.0,1.0,0,0,67.0
0,1,,https://profi.ru/profile/AbdullinLR/,39.0,1,0,"5,0",3,,,50.500441333333335,0,0,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/AbrashevYI/,85.0,1,0,0,0,,,50.7820325,0,0,0.0,0.0,0,0,
0,0,2.0,https://profi.ru/profile/AgliulinFR/,114.0,1,0,"5,0",1,,,50.7512952,0,0,0.0,0.0,0,0,27.0
0,0,,https://profi.ru/profile/AhmadeevAA4/,126.0,1,0,"5,0",5,,,50.707553,0,5,0.0,0.0,0,0,
0,0,,https://profi.ru/profile/AhmetshinIA/,110.0,1,0,"5,0",3,,,50.57070944444445,0,8,0.0,0.0,0,0,92.0
1,0,19.0,https://profi.ru/profile/AkhmadeyevMA/,43.0,0,0,"5,0",67,,,50.535154125,0,23,0.0,0.0,0,0,28.0
1,0,5.0,https://profi.ru/profile/AkhmadullinAR8/,40.0,1,0,0,0,,,50.90388,0,0,0.0,0.0,0,0,2.0
0,1,18.0,https://profi.ru/profile/AkhmetgareyevAN/,206.0,1,0,0,0,,,50.5527,0,14,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/AkhmetkhanovRG/,156.0,1,0,0,0,,,50.60901,0,0,0.0,0.0,0,0,6.0
1,0,2.0,https://profi.ru/profile/AkhmetzyanovII4/,100.0,1,0,"5,0",1,,,50.78668,0,0,0.0,0.0,0,0,22.0
1,0,,https://profi.ru/profile/AkhmetzyanovRR13/,115.0,1,0,"4,67",9,,15.0,50.76996414285714,0,0,1.0,0.0,0,0,
0,0,,https://profi.ru/profile/AkhtariyevRF/,138.0,1,0,"5,0",1,,,50.51267325,0,0,0.0,0.0,0,0,24.0
0,1,,https://profi.ru/profile/AlayevIN/,153.0,1,0,"5,0",8,,20.0,50.746927,0,0,0.0,0.0,0,0,
0,1,,https://profi.ru/profile/AleksandrovVV80/,121.0,1,0,"3,0",1,,15.0,50.71756333333334,2,0,0.0,0.0,0,0,
1,0,5.0,https://profi.ru/profile/AlekseevAA190/,182.0,1,0,"5,0",2,,,50.502674818181816,0,20,0.0,0.0,0,0,66.0
0,0,8.0,https://profi.ru/profile/AlekseyevaIA21/,118.0,1,0,"5,0",9,,,50.5390814,0,1,1.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/AlimgulovIZ/,90.0,1,0,"5,0",3,,,50.76702433333333,0,0,0.0,0.0,0,0,
0,1,10.0,https://profi.ru/profile/AlimovAA/,4.0,1,12,"4,99",616,,10.0,70.13721541666666,0,1,0.0,0.0,0,0,
1,0,23.0,https://profi.ru/profile/AlimovRY/,117.0,1,0,"5,0",2,,5.0,50.7559035,0,0,0.0,0.0,0,0,
1,0,7.0,https://profi.ru/profile/AmbaryanRV/,147.0,1,0,0,0,,,50.68337266666666,0,0,0.0,0.0,0,0,9.0
0,0,28.0,https://profi.ru/profile/AmerhanovRR/,84.0,0,0,"4,78",23,,,50.697867,0,4,0.0,1.0,0,0,
1,0,2.0,https://profi.ru/profile/AminevAM8/,126.0,1,0,"4,43",7,,,50.57290925,0,2,1.0,0.0,0,0,21.0
0,0,,https://profi.ru/profile/AmirkhanovFI/,189.0,1,0,"4,50",2,,,50.33364,0,5,0.0,0.0,0,0,54.0
1,0,7.0,https://profi.ru/profile/AndreyLO/,102.0,1,0,0,0,,,50.8071685,0,0,0.0,0.0,0,0,7.0
1,0,1.0,https://profi.ru/profile/AndreyevSY12/,29.0,1,0,"5,0",4,,,50.93858,0,1,0.0,0.0,0,0,15.0
0,0,2.0,https://profi.ru/profile/AndreyevVD10/,146.0,1,0,"5,0",2,,,50.64421316666667,0,0,0.0,0.0,0,0,17.0
1,0,8.0,https://profi.ru/profile/AndryashinVA/,78.0,1,0,"4,96",100,,100.0,50.782679,5,0,0.0,1.0,0,0,
0,1,7.0,https://profi.ru/profile/AnikinVV2/,78.0,1,0,0,0,,,50.711742,0,0,0.0,0.0,0,0,
0,1,2.0,https://profi.ru/profile/AnisimovIP2/,69.0,1,0,0,0,,,50.716845,0,0,0.0,0.0,0,0,
0,1,28.0,https://profi.ru/profile/AnoshinVA6/,86.0,0,0,"5,0",3,,5.0,50.7833994,0,1,0.0,0.0,0,0,
0,0,18.0,https://profi.ru/profile/ArifovAM/,110.0,1,0,0,0,,10.0,50.671356,0,2,0.0,0.0,0,0,4.0
1,0,14.0,https://profi.ru/profile/ArtemyevNA3/,21.0,1,0,"4,63",16,,,50.969334,0,1,1.0,0.0,0,0,44.0
1,0,5.0,https://profi.ru/profile/ArtemyevYA7/,106.0,1,0,"5,0",12,,,50.593211,0,0,0.0,0.0,0,0,21.0
1,0,4.0,https://profi.ru/profile/AsadovNK/,135.0,1,0,"4,95",39,,,50.679493,1,0,0.0,0.0,0,0,45.0
1,0,6.0,https://profi.ru/profile/AsadullinRR6/,80.0,1,0,"4,88",185,,5.0,50.5418,3,20,0.0,0.0,0,0,
1,0,8.0,https://profi.ru/profile/AsatovAA5/,30.0,1,0,"5,0",52,,,50.5598845,0,0,0.0,0.0,0,0,
1,1,10.0,https://profi.ru/profile/AskarovAN5/,106.0,1,0,0,0,,,50.7695406,0,0,0.0,0.0,0,0,
1,0,12.0,https://profi.ru/profile/AsylovDR2/,94.0,1,0,0,0,,,50.76583025,0,0,0.0,0.0,0,0,
0,1,6.0,https://profi.ru/profile/AvzalovRR3/,78.0,1,0,"5,0",6,,,50.669455,0,0,1.0,0.0,0,0,
1,0,4.0,https://profi.ru/profile/AyzatullinII/,48.0,1,0,"4,85",39,,,50.85519,1,8,0.0,0.0,0,0,43.0
0,0,4.0,https://profi.ru/profile/AzimbetovSS/,160.0,1,0,"5,0",16,,,50.689771500000006,0,0,0.0,0.0,0,0,54.0
1,0,1.0,https://profi.ru/profile/AzimovAG12/,159.0,1,0,0,0,,,50.709405333333336,0,0,0.0,0.0,0,0,15.0
1,0,7.0,https://profi.ru/profile/BabushkinDA/,102.0,1,0,"5,0",6,1500.0,,50.53023877777778,0,0,0.0,1.0,0,0,92.0
1,0,4.0,https://profi.ru/profile/BagautdinovRF3/,119.0,1,0,"4,87",15,,,50.62315925,0,11,0.0,0.0,0,0,54.0
0,0,,https://profi.ru/profile/BalevAA/,192.0,1,0,"5,0",1,,,50.33116,0,0,0.0,0.0,0,0,10.0
1,0,7.0,https://profi.ru/profile/BalilovIS/,110.0,1,0,0,0,,,50.675608,0,0,0.0,0.0,0,0,7.0
0,1,7.0,https://profi.ru/profile/BarabanovAV5/,153.0,1,12,"5,0",16,,,50.6797234,0,1,0.0,1.0,0,0,86.0
1,0,8.0,https://profi.ru/profile/BarytkoNO2/,156.0,1,0,"5,0",3,1500.0,,50.754019666666665,1,7,0.0,0.0,0,0,
0,1,14.0,https://profi.ru/profile/BashkinMG/,113.0,0,0,"4,72",141,,100.0,50.80006,9,50,0.0,0.0,1,0,
1,0,7.0,https://profi.ru/profile/BasyrovDS/,196.0,1,0,"4,73",15,,,50.80002,0,0,0.0,1.0,0,0,13.0
0,0,,https://profi.ru/profile/BatalovII2/,53.0,1,0,"5,0",5,,10.0,50.748476,0,4,1.0,0.0,0,0,39.0
1,0,4.0,https://profi.ru/profile/BatanevMA/,144.0,1,0,"4,90",29,,,50.539155375,5,94,0.0,0.0,1,0,52.0
1,0,7.0,https://profi.ru/profile/BaykhanovVY/,144.0,0,0,"5,0",10,,,50.631763,0,0,1.0,0.0,0,0,9.0
0,1,,https://profi.ru/profile/BazikeyevRA/,56.0,1,0,"5,0",10,,,50.5903915,0,15,0.0,0.0,0,0,
0,0,,https://profi.ru/profile/BemshlagAV/,140.0,1,0,"5,0",5,500.0,,50.71034275,0,0,0.0,1.0,0,0,
0,0,8.0,https://profi.ru/profile/BerezhnovMY/,129.0,1,0,0,0,,,50.7648428,0,0,0.0,0.0,0,0,46.0
1,0,5.0,https://profi.ru/profile/BeytsRA/,71.0,1,0,0,0,,,50.8033365,0,0,0.0,0.0,0,0,3.0
1,0,5.0,https://profi.ru/profile/BezzubovVP/,117.0,1,0,"5,0",1,,,50.51719088888889,0,0,0.0,0.0,0,0,3.0
0,1,10.0,https://profi.ru/profile/BikkininAI/,114.0,1,0,"4,75",4,1000.0,,50.76095,0,5,0.0,0.0,0,0,
0,0,6.0,https://profi.ru/profile/BikkininIG/,114.0,1,0,"4,33",6,,,50.75931375,7,7,1.0,0.0,0,0,84.0
0,0,9.0,https://profi.ru/profile/BikmukhametovLR/,117.0,1,0,"5,0",9,1500.0,,50.7749632,2,16,0.0,0.0,0,0,
0,0,4.0,https://profi.ru/profile/BikulovEN/,69.0,1,0,"5,0",13,,,50.58703522222223,0,5,0.0,1.0,0,0,47.0
1,0,20.0,https://profi.ru/profile/BildanovIM/,46.0,1,0,0,0,,,50.7458575,0,2,0.0,0.0,0,0,19.0
0,0,,https://profi.ru/profile/BildanovNR/,144.0,1,0,"5,0",7,,,50.696418666666666,1,0,1.0,0.0,0,0,32.0
1,0,7.0,https://profi.ru/profile/BitkulovAI/,94.0,1,0,"5,0",2,,,50.80374866666667,0,2,0.0,0.0,0,0,78.0
1,0,10.0,https://profi.ru/profile/BlotskiiEB/,162.0,1,0,"4,75",8,300.0,,50.568293,0,0,0.0,0.0,0,0,68.0
1,1,17.0,https://profi.ru/profile/BoboyevSA6/,127.0,1,0,"4,78",36,,,50.7718218,6,71,0.0,0.0,0,0,
1,0,5.0,https://profi.ru/profile/BobrovIV5/,86.0,1,0,0,0,,,50.778995,0,0,0.0,0.0,0,0,62.0
1,0,7.0,https://profi.ru/profile/BoldyrevDM/,130.0,1,0,"5,0",6,,,50.77070125,0,2,0.0,0.0,0,0,
1,0,5.0,https://profi.ru/profile/BorisovAA84/,154.0,1,0,"5,0",3,,,50.622902,0,0,0.0,0.0,0,0,63.0
1,0,6.0,https://profi.ru/profile/BorodinMV2/,122.0,1,0,"3,50",2,,,50.57400033333334,0,0,0.0,0.0,0,0,76.0
0,1,,https://profi.ru/profile/BoykoYN11/,156.0,1,0,0,0,,,50.63393666666667,0,0,0.0,0.0,0,0,
1,0,10.0,https://profi.ru/profile/BozorovSZ/,96.0,1,0,"5,0",10,,,50.60411025,1,52,0.0,0.0,0,0,
1,0,12.0,https://profi.ru/profile/BraunAI6/,121.0,1,0,0,0,,,50.784744,0,0,0.0,0.0,0,0,5.0
0,1,5.0,https://profi.ru/profile/BulatovRK6/,93.0,1,0,"5,0",4,,,50.76112666666666,0,0,0.0,0.0,0,0,
0,0,31.0,https://profi.ru/profile/BulyginAP/,43.0,1,0,"4,92",72,,,50.800779000000006,0,0,0.0,1.0,0,0,
0,1,0.0,https://profi.ru/profile/BurenkovVA3/,152.0,1,0,0,0,,,50.671979,0,0,0.0,0.0,0,0,
